index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,half_classes,ventilation_modification
student,None,None,FALSE,TRUE,FALSE,0.36
teacher,None,None,FALSE,TRUE,FALSE,0.36
student,None,None,TRUE,TRUE,FALSE,0.36
teacher,None,None,TRUE,TRUE,FALSE,0.36
student,None,None,TRUE,TRUE,TRUE,0.36
teacher,None,None,TRUE,TRUE,TRUE,0.36
student,None,7,FALSE,FALSE,FALSE,0.36
teacher,None,7,FALSE,FALSE,FALSE,0.36
student,7,7,FALSE,FALSE,FALSE,0.36
teacher,7,7,FALSE,FALSE,FALSE,0.36
student,7,3,FALSE,FALSE,FALSE,0.36
teacher,7,3,FALSE,FALSE,FALSE,0.36
student,3,3,FALSE,FALSE,FALSE,0.36
teacher,3,3,FALSE,FALSE,FALSE,0.36
student,7,7,TRUE,TRUE,FALSE,0.36
teacher,7,7,TRUE,TRUE,FALSE,0.36
student,7,7,FALSE,FALSE,TRUE,0.36
teacher,7,7,FALSE,FALSE,TRUE,0.36
student,3,3,TRUE,TRUE,TRUE,0.36
teacher,3,3,TRUE,TRUE,TRUE,0.36
student,3,3,FALSE,FALSE,TRUE,0.36
teacher,3,3,FALSE,FALSE,TRUE,0.36
student,3,3,TRUE,TRUE,FALSE,0.36
teacher,3,3,TRUE,TRUE,FALSE,0.36
student,7,7,FALSE,FALSE,FALSE,1
teacher,7,7,FALSE,FALSE,FALSE,1
student,None,None,TRUE,TRUE,FALSE,1
teacher,None,None,TRUE,TRUE,FALSE,1
student,None,None,FALSE,FALSE,FALSE,1
teacher,None,None,FALSE,FALSE,FALSE,1
