index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,class_size_reduction,ventilation_modification,added_friendship_contacts
student,None,None,FALSE,FALSE,0,1,0.05
teacher,None,None,FALSE,FALSE,0,1,0.05
student,None,None,FALSE,FALSE,0,1,0.1
teacher,None,None,FALSE,FALSE,0,1,0.1
student,None,None,FALSE,FALSE,0,1,0.15
teacher,None,None,FALSE,FALSE,0,1,0.15
student,None,None,FALSE,FALSE,0,1,0.2
teacher,None,None,FALSE,FALSE,0,1,0.2
student,None,None,FALSE,FALSE,0,1,0.25
teacher,None,None,FALSE,FALSE,0,1,0.25
student,None,None,FALSE,FALSE,0,1,0.3
teacher,None,None,FALSE,FALSE,0,1,0.3
student,None,None,FALSE,FALSE,0,1,0.35
teacher,None,None,FALSE,FALSE,0,1,0.35
student,None,None,FALSE,FALSE,0,1,0.4
teacher,None,None,FALSE,FALSE,0,1,0.4
student,None,None,TRUE,TRUE,0.5,0.36,0.05
teacher,None,None,TRUE,TRUE,0.5,0.36,0.05
student,None,None,TRUE,TRUE,0.5,0.36,0.1
teacher,None,None,TRUE,TRUE,0.5,0.36,0.1
student,None,None,TRUE,TRUE,0.5,0.36,0.15
teacher,None,None,TRUE,TRUE,0.5,0.36,0.15
student,None,None,TRUE,TRUE,0.5,0.36,0.2
teacher,None,None,TRUE,TRUE,0.5,0.36,0.2
student,None,None,TRUE,TRUE,0.5,0.36,0.25
teacher,None,None,TRUE,TRUE,0.5,0.36,0.25
student,None,None,TRUE,TRUE,0.5,0.36,0.3
teacher,None,None,TRUE,TRUE,0.5,0.36,0.3
student,None,None,TRUE,TRUE,0.5,0.36,0.35
teacher,None,None,TRUE,TRUE,0.5,0.36,0.35
student,None,None,TRUE,TRUE,0.5,0.36,0.4
teacher,None,None,TRUE,TRUE,0.5,0.36,0.4
student,3,3,FALSE,FALSE,0,0.36,0.05
teacher,3,3,FALSE,FALSE,0,0.36,0.05
student,3,3,FALSE,FALSE,0,0.36,0.1
teacher,3,3,FALSE,FALSE,0,0.36,0.1
student,3,3,FALSE,FALSE,0,0.36,0.15
teacher,3,3,FALSE,FALSE,0,0.36,0.15
student,3,3,FALSE,FALSE,0,0.36,0.2
teacher,3,3,FALSE,FALSE,0,0.36,0.2
student,3,3,FALSE,FALSE,0,0.36,0.25
teacher,3,3,FALSE,FALSE,0,0.36,0.25
student,3,3,FALSE,FALSE,0,0.36,0.3
teacher,3,3,FALSE,FALSE,0,0.36,0.3
student,3,3,FALSE,FALSE,0,0.36,0.35
teacher,3,3,FALSE,FALSE,0,0.36,0.35
student,3,3,FALSE,FALSE,0,0.36,0.4
teacher,3,3,FALSE,FALSE,0,0.36,0.4
student,3,3,TRUE,TRUE,0,0.36,0.05
teacher,3,3,TRUE,TRUE,0,0.36,0.05
student,3,3,TRUE,TRUE,0,0.36,0.1
teacher,3,3,TRUE,TRUE,0,0.36,0.1
student,3,3,TRUE,TRUE,0,0.36,0.15
teacher,3,3,TRUE,TRUE,0,0.36,0.15
student,3,3,TRUE,TRUE,0,0.36,0.2
teacher,3,3,TRUE,TRUE,0,0.36,0.2
student,3,3,TRUE,TRUE,0,0.36,0.25
teacher,3,3,TRUE,TRUE,0,0.36,0.25
student,3,3,TRUE,TRUE,0,0.36,0.3
teacher,3,3,TRUE,TRUE,0,0.36,0.3
student,3,3,TRUE,TRUE,0,0.36,0.35
teacher,3,3,TRUE,TRUE,0,0.36,0.35
student,3,3,TRUE,TRUE,0,0.36,0.4
teacher,3,3,TRUE,TRUE,0,0.36,0.4
student,3,3,TRUE,TRUE,0.5,0.36,0.05
teacher,3,3,TRUE,TRUE,0.5,0.36,0.05
student,3,3,TRUE,TRUE,0.5,0.36,0.1
teacher,3,3,TRUE,TRUE,0.5,0.36,0.1
student,3,3,TRUE,TRUE,0.5,0.36,0.15
teacher,3,3,TRUE,TRUE,0.5,0.36,0.15
student,3,3,TRUE,TRUE,0.5,0.36,0.2
teacher,3,3,TRUE,TRUE,0.5,0.36,0.2
student,3,3,TRUE,TRUE,0.5,0.36,0.25
teacher,3,3,TRUE,TRUE,0.5,0.36,0.25
student,3,3,TRUE,TRUE,0.5,0.36,0.3
teacher,3,3,TRUE,TRUE,0.5,0.36,0.3
student,3,3,TRUE,TRUE,0.5,0.36,0.35
teacher,3,3,TRUE,TRUE,0.5,0.36,0.35
student,3,3,TRUE,TRUE,0.5,0.36,0.4
teacher,3,3,TRUE,TRUE,0.5,0.36,0.4
