index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,half_classes,ventilation_modification,student_vaccination_ratio,teacher_vaccination_ratio,family_member_vaccination_ratio
student,None,None,FALSE,FALSE,FALSE,1,0.5,0.8,0.6
teacher,None,None,FALSE,FALSE,FALSE,1,0.5,0.8,0.6
student,None,None,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
teacher,None,None,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
student,None,None,FALSE,TRUE,FALSE,0.36,0.5,0.8,0.6
teacher,None,None,FALSE,TRUE,FALSE,0.36,0.5,0.8,0.6
student,None,None,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
teacher,None,None,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
student,None,None,TRUE,TRUE,TRUE,0.36,0.5,0.8,0.6
teacher,None,None,TRUE,TRUE,TRUE,0.36,0.5,0.8,0.6
student,None,7,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
teacher,None,7,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
student,7,7,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
teacher,7,7,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
student,7,3,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
teacher,7,3,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
student,3,3,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
teacher,3,3,FALSE,FALSE,FALSE,0.36,0.5,0.8,0.6
student,7,7,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
teacher,7,7,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
student,3,3,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
teacher,3,3,TRUE,TRUE,FALSE,0.36,0.5,0.8,0.6
student,7,7,FALSE,FALSE,TRUE,0.36,0.5,0.8,0.6
teacher,7,7,FALSE,FALSE,TRUE,0.36,0.5,0.8,0.6
student,3,3,FALSE,FALSE,TRUE,0.36,0.5,0.8,0.6
teacher,3,3,FALSE,FALSE,TRUE,0.36,0.5,0.8,0.6
student,3,3,TRUE,TRUE,TRUE,0.36,0.5,0.8,0.6
teacher,3,3,TRUE,TRUE,TRUE,0.36,0.5,0.8,0.6
