size,ratio,count,type
1,0.298507462686567,20,primary
2,0.238805970149254,16,primary
3,0.104477611940299,7,primary
4,0.074626865671642,5,primary
5,0.044776119402985,3,primary
6,0.08955223880597,6,primary
7,0.029850746268657,2,primary
8,0,0,primary
9,0.029850746268657,2,primary
10,0,0,primary
11,0.014925373134328,1,primary
12,0.029850746268657,2,primary
13,0.014925373134328,1,primary
14,0.014925373134328,1,primary
15,0,0,primary
16,0,0,primary
17,0,0,primary
18,0,0,primary
19,0,0,primary
20,0,0,primary
21,0,0,primary
22,0.014925373134328,1,primary
1,0.416666666666667,75,lower_secondary
2,0.166666666666667,30,lower_secondary
3,0.172222222222222,31,lower_secondary
4,0.061111111111111,11,lower_secondary
5,0.044444444444444,8,lower_secondary
6,0.033333333333333,6,lower_secondary
7,0.027777777777778,5,lower_secondary
8,0.022222222222222,4,lower_secondary
9,0.016666666666667,3,lower_secondary
10,0,0,lower_secondary
11,0.011111111111111,2,lower_secondary
12,0,0,lower_secondary
13,0.005555555555556,1,lower_secondary
14,0.005555555555556,1,lower_secondary
15,0,0,lower_secondary
16,0,0,lower_secondary
17,0,0,lower_secondary
18,0,0,lower_secondary
19,0,0,lower_secondary
20,0.005555555555556,1,lower_secondary
21,0,0,lower_secondary
22,0,0,lower_secondary
23,0,0,lower_secondary
24,0,0,lower_secondary
25,0,0,lower_secondary
26,0.005555555555556,1,lower_secondary
27,0,0,lower_secondary
28,0,0,lower_secondary
29,0,0,lower_secondary
30,0,0,lower_secondary
31,0.005555555555556,1,lower_secondary
1,0.448275862068966,52,upper_secondary
2,0.198275862068965,23,upper_secondary
3,0.163793103448276,19,upper_secondary
4,0.094827586206897,11,upper_secondary
5,0.043103448275862,5,upper_secondary
6,0.008620689655172,1,upper_secondary
7,0.025862068965517,3,upper_secondary
8,0.008620689655172,1,upper_secondary
9,0,0,upper_secondary
10,0,0,upper_secondary
11,0.008620689655172,1,upper_secondary
1,0.228571428571429,16,secondary
2,0.142857142857143,10,secondary
3,0.042857142857143,3,secondary
4,0.1,7,secondary
5,0.028571428571429,2,secondary
6,0.042857142857143,3,secondary
7,0.042857142857143,3,secondary
8,0.042857142857143,3,secondary
9,0.042857142857143,3,secondary
10,0.028571428571429,2,secondary
11,0.014285714285714,1,secondary
12,0.057142857142857,4,secondary
13,0.014285714285714,1,secondary
14,0.014285714285714,1,secondary
15,0,0,secondary
16,0,0,secondary
17,0.028571428571429,2,secondary
18,0,0,secondary
19,0,0,secondary
20,0,0,secondary
21,0.042857142857143,3,secondary
22,0,0,secondary
23,0,0,secondary
24,0.014285714285714,1,secondary
25,0.014285714285714,1,secondary
26,0.014285714285714,1,secondary
27,0,0,secondary
28,0,0,secondary
29,0,0,secondary
30,0,0,secondary
31,0,0,secondary
32,0.014285714285714,1,secondary
33,0,0,secondary
34,0,0,secondary
35,0,0,secondary
36,0,0,secondary
37,0,0,secondary
38,0,0,secondary
39,0,0,secondary
40,0,0,secondary
41,0,0,secondary
42,0.014285714285714,1,secondary
43,0,0,secondary
44,0,0,secondary
45,0,0,secondary
46,0,0,secondary
47,0,0,secondary
48,0,0,secondary
49,0,0,secondary
50,0,0,secondary
51,0,0,secondary
52,0,0,secondary
53,0,0,secondary
54,0,0,secondary
55,0.014285714285714,1,secondary
